country,2018,2019,2020,2021,2022
Canada,852,874,,128,897
USA,4571,4499,,663,4587
Austria,327,342,,56,288
Belgium,1097,1135,,159,679
Bulgaria,233,235,,56,183
Czech Republic,360,414,,55,276
Cyprus,108,128,,42,123
Denmark,614,691,,102,566
Finland,188,215,,17,169
France,3592,3561,,677,2830
Germany,3170,3233,,390,2233
Greece,223,250,,72,185
Hungary,372,334,,58,255
Republic of Ireland,2983,2851,,708,2509
Italy,2080,2197,,256,1313
Lithuania,322,236,,47,164
Luxembourg,78,146,,17,82
Malta,111,190,,28,70
Netherlands,1978,1987,,273,1632
Norway,648,647,,75,547
Poland,1555,1651,,337,1345
Portugal,453,613,,147,494
Romania,897,902,,191,634
Russia,229,199,,23,44
Slovakia,120,113,,12,77
Spain,2451,2319,,525,2012
Sweden,745,789,,117,630
Switzerland,825,926,,164,862
Turkey,318,334,,30,187
Rest of Europe,615,655,,201,592
Egypt,56,52,,8,31
Morocco,31,33,,2,15
Tunisia,4,9,,1,9
Other North Africa,22,21,,1,13
South Africa,265,217,,17,207
Nigeria,203,208,,80,207
Other Africa,204,188,,27,127
Israel,264,265,,71,245
United Arab Emirates,511,553,,91,380
Other Middle East,651,723,,158,470
Hong Kong (China),403,409,,12,112
Other China,1001,1010,,17,73
India,680,692,,58,516
Japan,429,389,,10,115
Pakistan,95,90,,20,85
Sri Lanka,18,29,,1,13
Thailand,189,184,,5,82
Other Asia,976,955,,75,484
Australia,1039,1063,,24,723
New Zealand,232,188,,9,126
Barbados,23,27,,2,8
Jamaica,15,8,,2,6
Other Caribbean,95,109,,18,74
Brazil,288,291,,19,267
Mexico,164,166,,9,163
Other Central & Sth. America,302,311,,20,227
Rest of the World,6,2,,1,4
Other Countries,8167,8191,1942.0,759,4781
Total World,40283,40857,11101.0,6384,31244
