country,2018,2019,2020,2021,2022
Canada,87.81,94.42,,64.39,96.77
USA,114.25,143.4,,73.32,152.05
Austria,96.82,120.09,,39.24,103.82
Belgium,97.99,106.61,,94.2,125.9
Bulgaria,42.1,56.58,,24.55,67.46
Czech Republic,62.08,66.4,,24.72,100.49
Cyprus,60.29,88.82,,60.95,80.54
Denmark,122.94,122.78,,84.13,115.17
Finland,115.86,111.97,,51.76,115.24
France,72.72,82.46,,57.23,94.09
Germany,86.47,87.86,,54.4,98.55
Greece,66.1,94.39,,57.07,83.31
Hungary,44.47,60.97,,44.02,59.13
Republic of Ireland,107.43,89.34,,72.25,109.9
Italy,82.76,87.1,,47.38,90.04
Lithuania,53.6,42.07,,46.92,64.99
Luxembourg,97.59,188.27,,81.58,183.56
Malta,97.03,110.59,,136.79,70.04
Netherlands,84.19,92.17,,53.08,106.76
Norway,127.13,150.61,,94.38,149.63
Poland,37.04,55.76,,31.02,53.62
Portugal,61.41,70.58,,51.31,64.8
Romania,38.59,45.62,,33.26,48.52
Russia,122.99,106.28,,26.47,80.53
Slovakia,40.68,67.43,,54.65,58.96
Spain,72.82,64.94,,42.45,76.03
Sweden,117.76,107.84,,69.1,110.23
Switzerland,89.18,126.54,,86.57,127.49
Turkey,102.76,48.67,,58.24,98.03
Rest of Europe,79.99,80.35,,46.39,55.9
0,84.96,86.82,,56.06,96.3
0,43.58,57.2,,36.21,60.1
Egypt,112.83,193.25,,88.31,147.59
Morocco,147.43,103.92,,79.97,64.53
Tunisia,117.03,83.33,,40.19,17.96
Other North Africa,74.33,108.59,,34.23,119.27
South Africa,94.83,90.47,,30.04,78.63
Nigeria,78.75,111.09,,68.66,77.71
Other Africa,73.53,85.72,,43.72,77.74
Israel,123.3,140.5,,94.49,144.89
United Arab Emirates,195.43,169.6,,110.52,151.3
Other Middle East,162.46,177.63,,156.22,169.92
Hong Kong (China),112.96,156.26,,75.31,90.47
Other China,111.82,122.56,,48.08,44.64
India,46.97,60.89,,33.5,55.46
Japan,146.25,136.37,,48.53,107.66
Pakistan,53.31,60.47,,19.93,73.82
Sri Lanka,88.72,37.91,,22.45,59.55
Thailand,89.38,130.1,,25.21,83.18
Other Asia,106.39,97.63,,66.92,100.66
Australia,81.67,86.39,,49.36,90.88
New Zealand,89.91,63.18,,54.09,86.14
Barbados,25.56,27.4,,28.95,62.63
Jamaica,38.3,30.61,,25.25,36.6
Other Caribbean,95.17,45.73,,47.34,80.01
Brazil,106.71,82.01,,29.12,68.99
Mexico,80.0,107.08,,43.16,137.36
Other Central & Sth. America,70.82,79.76,,43.98,88.1
Rest of the World,28.15,23.11,,468.03,40.19
Other Countries,,,,68.71,92.26
Total World,100.46,107.29,,59.72,100.25
