country,2018,2019,2020,2021,2022
Canada,9,9,,18,11
USA,8,6,,16,9
Austria,5,4,,13,6
Belgium,4,3,,8,5
Bulgaria,10,13,,27,9
Czech Republic,5,6,,15,5
Cyprus,10,9,,13,11
Denmark,4,4,,7,5
Finland,5,5,,20,6
France,5,5,,11,6
Germany,5,6,,11,6
Greece,9,7,,18,9
Hungary,7,7,,8,6
Republic of Ireland,3,3,,6,4
Italy,5,6,,14,7
Lithuania,6,11,,9,6
Luxembourg,6,3,,8,4
Malta,5,6,,12,7
Netherlands,4,4,,10,5
Norway,5,4,,9,5
Poland,7,5,,10,6
Portugal,6,7,,10,7
Romania,13,11,,18,9
Russia,7,9,,31,13
Slovakia,7,5,,15,9
Spain,6,6,,13,7
Sweden,5,5,,10,6
Switzerland,5,5,,10,6
Turkey,8,16,,19,9
Rest of Europe,6,6,,16,13
Egypt,9,8,,29,13
Morocco,5,10,,27,23
Tunisia,10,5,,32,62
Other North Africa,12,12,,70,15
South Africa,12,11,,51,17
Nigeria,18,14,,32,21
Other Africa,15,18,,41,21
Israel,7,7,,11,7
United Arab Emirates,9,9,,20,14
Other Middle East,15,14,,24,17
Hong Kong (China),11,9,,47,23
Other China,15,15,,183,67
India,20,18,,59,27
Japan,8,7,,39,13
Pakistan,20,21,,54,24
Sri Lanka,18,25,,112,34
Thailand,19,12,,95,16
Other Asia,10,12,,30,15
Australia,13,13,,30,17
New Zealand,13,14,,35,18
Barbados,19,20,,45,18
Jamaica,18,21,,50,33
Other Caribbean,10,20,,25,17
Brazil,8,10,,44,17
Mexico,7,7,,37,8
Other Central & Sth. America,12,9,,42,12
Rest of the World,18,7,,9,24
Other Countries,13,13,,35,18
Total World,7,7,,15,8
